LAT;;;;;46.6943;46.6943;46.6943;46.6943;46.6943;46.6943
LON;;;;;5.57451;5.57451;5.57451;5.57451;5.57451;5.57451
ASL;;;;;341.000;341.000;341.000;341.000;341.000;341.000
CITY;;;;;Chille;Chille;Chille;Chille;Chille;Chille
DOMAIN;;;;;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4
LEVEL;;;;;2 m above gnd;2 m above gnd;sfc;sfc;sfc;sfc
NAME;;;;;Temperature;Relative Humidity;Total Precipitation;Snowfall amount raw;Total Cloud Cover;Shortwave Radiation
UNIT;;;;;°C;%;mm;cm;%;W/m2
AGGREGATION;;;;;;;;;;
UTC_OFFSET;;;;;2;2;2;2;2;2

Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Total Precipitation  [sfc];Snowfall amount raw  [sfc];Total Cloud Cover  [sfc];Shortwave Radiation  [sfc]
2018;09;26;19;00;19.53;56.00;0.00;0.00;0.00;137.95
2018;09;26;20;00;18.20;60.00;0.00;0.00;0.00;9.79
2018;09;26;21;00;16.58;65.00;0.00;0.00;2.70;0.00
2018;09;26;22;00;14.55;72.00;0.00;0.00;2.10;0.00
2018;09;26;23;00;14.62;71.00;0.00;0.00;0.60;0.00
2018;09;27;00;00;14.90;68.00;0.00;0.00;0.00;0.00
2018;09;27;01;00;14.71;69.00;0.00;0.00;0.00;0.00
2018;09;27;02;00;15.14;68.00;0.00;0.00;0.00;0.00
2018;09;27;03;00;14.52;72.00;0.00;0.00;0.00;0.00
2018;09;27;04;00;13.93;81.00;0.00;0.00;0.00;0.00
2018;09;27;05;00;13.18;86.00;0.00;0.00;0.00;0.00
2018;09;27;06;00;12.62;88.00;0.00;0.00;0.00;0.00
2018;09;27;07;00;12.19;90.00;0.00;0.00;0.00;0.00
2018;09;27;08;00;12.39;85.00;0.00;0.00;0.00;9.79
2018;09;27;09;00;14.73;80.00;0.00;0.00;0.00;138.84
2018;09;27;10;00;16.88;72.00;0.00;0.00;0.00;303.49
2018;09;27;11;00;18.22;70.00;0.00;0.00;0.00;447.67
2018;09;27;12;00;19.38;67.00;0.00;0.00;0.00;557.14
2018;09;27;13;00;20.62;61.00;0.00;0.00;0.00;628.34
2018;09;27;14;00;21.97;54.00;0.00;0.00;0.00;655.04
2018;09;27;15;00;22.76;54.00;0.00;0.00;0.00;629.23
2018;09;27;16;00;23.19;49.00;0.00;0.00;0.00;557.14
2018;09;27;17;00;23.16;50.00;0.00;0.00;0.00;444.11
2018;09;27;18;00;22.72;52.00;0.00;0.00;0.00;299.04
2018;09;27;19;00;21.10;57.00;0.00;0.00;0.00;133.50
2018;09;27;20;00;19.48;63.00;0.00;0.00;0.00;8.01
2018;09;27;21;00;18.38;63.00;0.00;0.00;0.00;0.00
2018;09;27;22;00;17.05;72.00;0.00;0.00;0.00;0.00
2018;09;27;23;00;16.49;74.00;0.00;0.00;0.00;0.00
2018;09;28;00;00;15.70;73.00;0.00;0.00;0.00;0.00
2018;09;28;01;00;16.01;71.00;0.00;0.00;0.00;0.00
2018;09;28;02;00;16.00;73.00;0.00;0.00;0.00;0.00
2018;09;28;03;00;15.68;69.00;0.00;0.00;0.00;0.00
2018;09;28;04;00;15.21;65.00;0.00;0.00;0.00;0.00
2018;09;28;05;00;15.11;61.00;0.00;0.00;0.00;0.00
2018;09;28;06;00;14.85;58.00;0.00;0.00;0.00;0.00
2018;09;28;07;00;14.71;58.00;0.00;0.00;0.00;0.00
2018;09;28;08;00;14.78;61.00;0.00;0.00;0.00;8.90
2018;09;28;09;00;16.91;65.00;0.00;0.00;0.00;134.39
2018;09;28;10;00;19.57;58.00;0.00;0.00;0.00;296.37
2018;09;28;11;00;20.93;54.00;0.00;0.00;0.00;438.77
2018;09;28;12;00;21.80;53.00;0.00;0.00;0.00;546.46
2018;09;28;13;00;22.96;48.00;0.00;0.00;0.00;615.88
2018;09;28;14;00;22.89;57.00;0.00;0.00;10.00;615.88
2018;09;28;15;00;23.22;55.00;0.00;0.00;10.00;583.84
2018;09;28;16;00;23.32;51.00;0.00;0.00;0.00;520.65
2018;09;28;17;00;22.87;51.00;0.00;0.00;0.00;430.76
2018;09;28;18;00;22.04;51.00;0.00;0.00;0.00;287.47
2018;09;28;19;00;18.88;62.00;0.00;0.00;0.00;125.49
2018;09;28;20;00;16.15;70.00;0.00;0.00;6.30;6.23
2018;09;28;21;00;15.68;67.00;0.00;0.00;7.80;0.00
2018;09;28;22;00;14.41;72.00;0.00;0.00;0.00;0.00
2018;09;28;23;00;12.83;76.00;0.00;0.00;0.00;0.00
2018;09;29;00;00;11.60;81.00;0.00;0.00;0.00;0.00
2018;09;29;01;00;12.46;70.00;0.00;0.00;0.00;0.00
2018;09;29;02;00;10.17;80.00;0.00;0.00;0.00;0.00
2018;09;29;03;00;10.84;86.00;0.00;0.00;0.00;0.00
2018;09;29;04;00;9.94;91.00;0.00;0.00;0.00;0.00
2018;09;29;05;00;9.80;91.00;0.00;0.00;0.00;0.00
2018;09;29;06;00;9.91;91.00;0.00;0.00;0.00;0.00
2018;09;29;07;00;10.01;89.00;0.00;0.00;0.00;0.00
2018;09;29;08;00;10.90;83.00;0.00;0.00;0.00;7.12
2018;09;29;09;00;14.62;65.00;0.00;0.00;0.00;129.94
2018;09;29;10;00;16.73;60.00;0.00;0.00;0.00;291.03
2018;09;29;11;00;18.46;56.00;0.00;0.00;0.60;435.21
2018;09;29;12;00;19.97;54.00;0.00;0.00;0.60;541.12
2018;09;29;13;00;21.11;51.00;0.00;0.00;3.60;606.98
2018;09;29;14;00;21.83;50.00;0.00;0.00;4.80;628.34
2018;09;29;15;00;22.45;48.00;0.00;0.00;6.00;603.42
2018;09;29;16;00;22.58;47.00;0.00;0.00;6.90;534.89
2018;09;29;17;00;21.98;49.00;0.00;0.00;6.30;428.98
2018;09;29;18;00;21.11;55.00;0.00;0.00;6.30;291.92
2018;09;29;19;00;18.22;67.00;0.00;0.00;6.00;131.72
2018;09;29;20;00;17.17;68.00;0.00;0.00;6.60;6.23
2018;09;29;21;00;15.73;80.00;0.00;0.00;5.10;0.00
2018;09;29;22;00;14.77;80.00;0.00;0.00;2.10;0.00
2018;09;29;23;00;14.31;84.00;0.00;0.00;0.60;0.00
